2535 N 5 ST,,PHILA,CA,90210,3B
11 EVARTS ST NE,,WASHINGTON,DC,20002,3A
11 GRANT CIR NW,,WASHINGTON,DC,20011,3A
11 V ST NW,,WASHINGTON,DC,20001,3B
110 10TH ST SE,,WASHINGTON,DC,20003,3B
110 48TH PL NE,,WASHINGTON,DC,20019,3B
110 49TH PL NE,,WASHINGTON,DC,20019,3B
110 P ST SW,APT 2,WASHINGTON,DC,20024,3B
1101 N ST NW,,WASHINGTON,DC,20005,3A
1102 G ST NE,,WASHINGTON,DC,20002,3B
1106 G ST NE,,WASHINGTON,DC,20002,3B
1107 N ST NW,,WASHINGTON,DC,20005,3B
1108 HOLBROOK TER NE,APT 3,WASHINGTON,DC,20002,3A
111 53RD ST NE,,WASHINGTON,DC,20019,3B
1110 G ST NE,,WASHINGTON,DC,20002,3B
1110 QUEEN ST NE,APT 4,WASHINGTON,DC,20002,3B
1111 46TH ST SE,,WASHINGTON,DC,20019,3B
1112 SPRING RD NW,,WASHINGTON,DC,20010,3A
1114 G ST NE,,WASHINGTON,DC,20002,3B
1115 42ND ST NE,,WASHINGTON,DC,20019,3B
1116 COLUMBIA RD NW,APT 3,WASHINGTON,DC,20009,3A
1117 LAMONT ST NW,,WASHINGTON,DC,20010,3B
1118 CHAPLIN ST SE,,WASHINGTON,DC,20019,3B
1118 COLUMBIA RD NW,,WASHINGTON,DC,20009,3B
1119 42ND ST NE,,WASHINGTON,DC,20019,3B
1119 S ST NW,,WASHINGTON,DC,20009,3B
112 48TH PL NE,,WASHINGTON,DC,20019,3A
112 50TH ST NE,,WASHINGTON,DC,20019,3A
1120 EUCLID ST NW,APT 3,WASHINGTON,DC,20009,3B
1121 W VIRGINIA AVE NE,,WASHINGTON,DC,20002,3B
1123 COLUMBIA RD NW,,WASHINGTON,DC,20009,3B
1123 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3A
1124 16TH ST NE,APT 3,WASHINGTON,DC,20002,3B
1124 BUCHANAN ST NW,,WASHINGTON,DC,20011,3B
1125 I ST NE,,WASHINGTON,DC,20002,3A
1125 OWEN PL NE,,WASHINGTON,DC,20002,3B
1127 45TH PL SE,,WASHINGTON,DC,20019,3A
1127 COLUMBIA RD NW,APT B,WASHINGTON,DC,20009,3B
1130 GIRARD ST NW,,WASHINGTON,DC,20009,3A
1131 GIRARD ST NW,,WASHINGTON,DC,20009,3A
1133 19TH ST NE,,WASHINGTON,DC,20002,3B
1133 QUEEN ST NE,,WASHINGTON,DC,20002,3B
1135 46TH ST SE,,WASHINGTON,DC,20019,3B
1135 GIRARD ST NW,,WASHINGTON,DC,20009,3B
1137 FAIRMONT ST NW,,WASHINGTON,DC,20009,3A
114 36TH ST NE,,WASHINGTON,DC,20019,3B
1142 16TH ST NE,,WASHINGTON,DC,20002,3B
1142 BUCHANAN ST NW,,WASHINGTON,DC,20011,3B
1144 OATES ST NE,,WASHINGTON,DC,20002,3B
1147 46TH ST SE,,WASHINGTON,DC,20019,3B
1148 OWEN PL NE,APT 3,WASHINGTON,DC,20002,3B
115 50TH ST NE,,WASHINGTON,DC,20019,3B
115 53RD ST NE,,WASHINGTON,DC,20019,3A
115 WEBSTER ST NW,,WASHINGTON,DC,20011,3B
1153 NEAL ST NE,APT B,WASHINGTON,DC,20002,3B
116 33RD ST NE,,WASHINGTON,DC,20019,3B
116 35TH ST NE,,WASHINGTON,DC,20019,3A
116 SYCAMORE RD NE,,WASHINGTON,DC,20019,3A
117 36TH ST NE,,WASHINGTON,DC,20019,3A
117 P ST NW,,WASHINGTON,DC,20001,3A
119 50TH ST NE,,WASHINGTON,DC,20019,3B
120 VARNUM ST NW,,WASHINGTON,DC,20011,3B
1201 CLIFTON ST NW,APT 3,WASHINGTON,DC,20009,3B
1202 STAPLES ST NE,,WASHINGTON,DC,20002,3B
1203 HARVARD ST NW,,WASHINGTON,DC,20009,3A
1204 42ND PL NE,,WASHINGTON,DC,20019,3A
1204 DELAFIELD PL NW,,WASHINGTON,DC,20011,3A
1204 GIRARD ST NW,,WASHINGTON,DC,20009,3B
1204 ORREN ST NE,,WASHINGTON,DC,20002,3A
1206 CARROLLSBURG PL SW,,WASHINGTON,DC,20024,3B
1207 COLUMBIA RD NW,APT 2,WASHINGTON,DC,20009,3A
1207 DECATUR ST NW,,WASHINGTON,DC,20011,3A
1207 G ST NE,FL 2,WASHINGTON,DC,20002,3A
1207 HOLLY ST NW,,WASHINGTON,DC,20012,3B
1209 FAIRMONT ST NW,,WASHINGTON,DC,20009,3A
121 35TH ST NE,APT 4,WASHINGTON,DC,20019,3B
1210 MARYLAND AVE NE,,WASHINGTON,DC,20002,3B
1211 HOLBROOK ST NE,,WASHINGTON,DC,20002,3B
1211 I ST NE,,WASHINGTON,DC,20002,3A
1212 42ND PL NE,,WASHINGTON,DC,20019,3B
1212 LINDEN PL NE,,WASHINGTON,DC,20002,3A
1212 STAPLES ST NE,,WASHINGTON,DC,20002,3B
1213 HARVARD ST NW,,WASHINGTON,DC,20009,3A
1213 QUEEN ST NE,APT 2,WASHINGTON,DC,20002,3B
1214 45TH PL SE,,WASHINGTON,DC,20019,3B
1214 CHAPLIN ST SE,,WASHINGTON,DC,20019,3B
1214 INGRAHAM ST NW,FL 2,WASHINGTON,DC,20011,3B
1214 LINDEN PL NE,,WASHINGTON,DC,20002,3A
1214 MARYLAND AVE NE,,WASHINGTON,DC,20002,3B
1215 18TH ST NE,,WASHINGTON,DC,20002,3A
1215 CLIFTON ST NW,,WASHINGTON,DC,20009,3B
1215 EUCLID ST NW,,WASHINGTON,DC,20009,3B
1216 CARROLLSBURG PL SW,APT A,WASHINGTON,DC,20024,3B
1216 HOLBROOK ST NE,APT 1,WASHINGTON,DC,20002,3B
1217 LINDEN PL NE,APT BSMT,WASHINGTON,DC,20002,3A
1217 OTIS PL NW,APT 2,WASHINGTON,DC,20010,3B
1217 RAUM ST NE,APT 4,WASHINGTON,DC,20002,3A
1217 SHEPHERD ST NW,,WASHINGTON,DC,20011,3A
1217 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3B
1218 18TH PL NE,APT 2,WASHINGTON,DC,20002,3B
1218 ANACOSTIA RD SE,,WASHINGTON,DC,20019,3A
1218 WYLIE ST NE,,WASHINGTON,DC,20002,3B
1219 18TH ST NE,,WASHINGTON,DC,20002,3B
1219 46TH ST SE,,WASHINGTON,DC,20019,3B
1219 HOLBROOK TER NE,APT 4,WASHINGTON,DC,20002,3B
122 DIVISION AVE NE,,WASHINGTON,DC,20019,3A
1220 16TH ST NE,,WASHINGTON,DC,20002,3B
1220 G ST NE,,WASHINGTON,DC,20002,3A
1220 MONTELLO AVE NE,,WASHINGTON,DC,20002,3B
1221 18TH ST NE,,WASHINGTON,DC,20002,3B
1221 CARROLLSBURG PL SW,APT B,WASHINGTON,DC,20024,3B
1222 18TH PL NE,APT 3,WASHINGTON,DC,20002,3A
1222 ORREN ST NE,,WASHINGTON,DC,20002,3B
1222 QUEEN ST NE,APT 1,WASHINGTON,DC,20002,3B
1223 18TH PL NE,APT 4,WASHINGTON,DC,20002,3B
1223 18TH ST NE,,WASHINGTON,DC,20002,3B
1223 OWEN PL NE,,WASHINGTON,DC,20002,3A
1223 T ST NW,,WASHINGTON,DC,20009,3B
1223 UNDERWOOD ST NW,,WASHINGTON,DC,20012,3A
1224 34TH ST SE,,WASHINGTON,DC,20019,3B
1224 OATES ST NE,,WASHINGTON,DC,20002,3B
1225 42ND ST NE,,WASHINGTON,DC,20019,3B
1225 42ND ST SE,,WASHINGTON,DC,20020,3B
1225 LINDEN PL NE,,WASHINGTON,DC,20002,3B
1226 CHAPLIN ST SE,,WASHINGTON,DC,20019,3B
1226 I ST NE,,WASHINGTON,DC,20002,3B
1226 MARYLAND AVE NE,,WASHINGTON,DC,20002,3A
1227 17TH ST NE,,WASHINGTON,DC,20002,3B
1227 DECATUR ST NW,,WASHINGTON,DC,20011,3A
1227 KENYON ST NW,,WASHINGTON,DC,20010,3B
1228 33RD PL SE,,WASHINGTON,DC,20019,3A
1228 WYLIE ST NE,,WASHINGTON,DC,20002,3A
1229 ROCK CREEK FORD RD NW,,WASHINGTON,DC,20011,3B
1229 S ST NW,,WASHINGTON,DC,20009,3A
123 50TH ST NE,,WASHINGTON,DC,20019,3B
123 V ST NW,,WASHINGTON,DC,20001,3B
1232 FAIRMONT ST NW,,WASHINGTON,DC,20009,3B
1232B HALF ST SW,BUNIT,WASHINGTON,DC,20024,3B
1233 44TH PL SE,,WASHINGTON,DC,20019,3B
1233 RAUM ST NE,APT 2,WASHINGTON,DC,20002,3B
1234 MONTELLO AVE NE,,WASHINGTON,DC,20002,3B
1235 WYLIE ST NE,,WASHINGTON,DC,20002,3B
1236 44TH ST NE,,WASHINGTON,DC,20019,3B
1236 MARYLAND AVE NE,,WASHINGTON,DC,20002,3A
1237 GIRARD ST NW,,WASHINGTON,DC,20009,3A
1238 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3B
124 36TH ST NE,,WASHINGTON,DC,20019,3B
124 48TH PL NE,,WASHINGTON,DC,20019,3A
124 BRYANT ST NW,,WASHINGTON,DC,20001,3A
124 SEATON PL NW,,WASHINGTON,DC,20001,3B
1241 EUCLID ST NW,APT B,WASHINGTON,DC,20009,3B
1241 MARYLAND AVE NE,,WASHINGTON,DC,20002,3A
1242 ASPEN ST NW,,WASHINGTON,DC,20012,3B
1242 CRLSBRG PL APT B,BAPT,WASHINGTON,DC,20024,3B
1242 G ST NE,,WASHINGTON,DC,20002,3B
1242 IRVING ST NW,,WASHINGTON,DC,20010,3B
1242 PENN ST NE,APT 4,WASHINGTON,DC,20002,3B
1243 MARYLAND AVE NE,,WASHINGTON,DC,20002,3B
1244 HALF ST SW,,WASHINGTON,DC,20024,3B
1244 MARYLAND AVE NE,,WASHINGTON,DC,20002,3B
1244 UNDERWOOD ST NW,,WASHINGTON,DC,20012,3A
1246 CHAPLIN ST SE,,WASHINGTON,DC,20019,3B
1246 I ST NE,,WASHINGTON,DC,20002,3B
1246 PENN ST NE,APT 2,WASHINGTON,DC,20002,3A
1247 MARYLAND AVE NE,,WASHINGTON,DC,20002,3B
1248 UNDERWOOD ST NW,,WASHINGTON,DC,20012,3A
1249 16TH ST NE,,WASHINGTON,DC,20002,3B
1249 CARROLLSBURG PL SW,,WASHINGTON,DC,20024,3B
125 ANACOSTIA AVE NE,,WASHINGTON,DC,20019,3B
1250 16TH ST NE,APT A,WASHINGTON,DC,20002,3B
1250 HOLBROOK TER NE,APT 4,WASHINGTON,DC,20002,3B
1251 MORSE ST NE,,WASHINGTON,DC,20002,3B
1252 OWEN PL NE,APT 3,WASHINGTON,DC,20002,3B
1252 PENN ST NE,,WASHINGTON,DC,20002,3A
1253 OWEN PL NE,,WASHINGTON,DC,20002,3B
1258 CARROLLSBURG PL SW,,WASHINGTON,DC,20024,3B
126 33RD ST NE,,WASHINGTON,DC,20019,3A
126 44TH ST NE,APT 2,WASHINGTON,DC,20019,3A
126 THOMAS ST NW,APT BSM,WASHINGTON,DC,20001,3B
1264 OATES ST NE,,WASHINGTON,DC,20002,3B
127 ANACOSTIA AVE NE,,WASHINGTON,DC,20019,3B
127 P ST NW,,WASHINGTON,DC,20001,3A
127 S NW ST,,WASHINGTON,DC,20001,3B
1272 HOLBROOK TER NE,,WASHINGTON,DC,20002,3B
1276 OATES ST NE,,WASHINGTON,DC,20002,3B
128 36TH ST NE,,WASHINGTON,DC,20019,3A
128 48TH PL NE,,WASHINGTON,DC,20019,3A
128 BATES ST NW,,WASHINGTON,DC,20001,3A
128 W ST NW,APT BSMT,WASHINGTON,DC,20001,3A
1280 OATES ST NE,,WASHINGTON,DC,20002,3A
1281 OATES ST NE,,WASHINGTON,DC,20002,3B
1285 OWEN PL NE,,WASHINGTON,DC,20002,3B
129 35TH ST NE,APT 3,WASHINGTON,DC,20019,3B
129 35TH ST NE,APT 4,WASHINGTON,DC,20019,3B
129 T ST NW,,WASHINGTON,DC,20001,3B
13 R ST NW,,WASHINGTON,DC,20001,3A
130 36TH ST NE,,WASHINGTON,DC,20019,3B
130 BATES ST NW,,WASHINGTON,DC,20001,3B
1300 JONQUIL ST NW,,WASHINGTON,DC,20012,3B
1300 SOMERSET PL NW,,WASHINGTON,DC,20011,3A
1301 42ND ST SE,,WASHINGTON,DC,20020,3B
1302 EMERALD ST NE,,WASHINGTON,DC,20002,3B
1302 GIRARD ST NW,,WASHINGTON,DC,20009,3A
1302 KENYON ST NW,,WASHINGTON,DC,20010,3B
1302 LONGFELLOW ST NW,,WASHINGTON,DC,20011,3A
1302 R ST NW,APT 3,WASHINGTON,DC,20009,3B
1302 S ST SE,,WASHINGTON,DC,20020,3B
1303 DECATUR ST NW,,WASHINGTON,DC,20011,3B
1303 EMERSON ST NW,,WASHINGTON,DC,20011,3B
1303 FAIRMONT ST NW,APT B,WASHINGTON,DC,20009,3B
1303 R ST NW,APT BSMT,WASHINGTON,DC,20009,3B
1303 SHERIDAN ST NW,,WASHINGTON,DC,20011,3B
1303 STAPLES ST NE,,WASHINGTON,DC,20002,3A
1303 W VIRGINIA AVE NE,,WASHINGTON,DC,20002,3A
1304 TUCKERMAN ST NW,,WASHINGTON,DC,20011,3A
1305 46TH ST SE,,WASHINGTON,DC,20019,3B
1305 R ST NW,,WASHINGTON,DC,20009,3A
1306 BRANCH AVE SE,,WASHINGTON,DC,20020,3A
1306 RIGGS ST NW,,WASHINGTON,DC,20009,3A
1306 S ST NW,,WASHINGTON,DC,20009,3A
1306 T ST SE,,WASHINGTON,DC,20020,3B
1307 BELMONT ST NW,,WASHINGTON,DC,20009,3B
1307 R ST NW,APT 2,WASHINGTON,DC,20009,3A
1307 R ST NW,APT 4,WASHINGTON,DC,20009,3B
1308 CORCORAN ST NW,,WASHINGTON,DC,20009,3B
1308 GERANIUM ST NW,,WASHINGTON,DC,20012,3B
1308 R ST NW,,WASHINGTON,DC,20009,3A
1308 WHITTIER PL NW,,WASHINGTON,DC,20012,3A
1309 CORCORAN ST NW,,WASHINGTON,DC,20009,3A
1309 IRVING ST NW,,WASHINGTON,DC,20010,3B
1309 RANDOLPH ST NW,,WASHINGTON,DC,20011,3A
1310 W ST NW,,WASHINGTON,DC,20009,3B
1311 44TH PL SE,,WASHINGTON,DC,20019,3B
1311 DECATUR ST NW,,WASHINGTON,DC,20011,3A
1311 EMERALD ST NE,,WASHINGTON,DC,20002,3B
1311 FAIRMONT ST NW,APT 1,WASHINGTON,DC,20009,3B
1311 FLORIDA AVE NE,,WASHINGTON,DC,20002,3B
1311 RIGGS ST NW,APT B,WASHINGTON,DC,20009,3B
1311 RIGGS ST NW,,WASHINGTON,DC,20009,3B
1311 T ST NW,,WASHINGTON,DC,20009,3A
1312 27TH ST SE,,WASHINGTON,DC,20020,3B
1312 44TH PL SE,,WASHINGTON,DC,20019,3B
1312 RIGGS ST NW,,WASHINGTON,DC,20009,3A
1312 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3B
1313 BELMONT ST NW,,WASHINGTON,DC,20009,3B
1313 MARYLAND AVE NE,,WASHINGTON,DC,20002,3A
1313 T ST NW,,WASHINGTON,DC,20009,3B
1314 11TH ST NW,,WASHINGTON,DC,20001,3B
1314 CORCORAN ST NW,,WASHINGTON,DC,20009,3B
1314 E ST NE,,WASHINGTON,DC,20002,3B
1315 28TH ST SE,,WASHINGTON,DC,20020,3B
1315 EMERSON ST NW,,WASHINGTON,DC,20011,3B
1315 F ST NE,,WASHINGTON,DC,20002,3B
1315 FAIRMONT ST NW,APT 2,WASHINGTON,DC,20009,3B
1315 IRVING ST NW,,WASHINGTON,DC,20010,3B
1315 Q ST NW,,WASHINGTON,DC,20009,3B
1316 31ST PL SE,,WASHINGTON,DC,20020,3B
1316 CORCORAN ST NW,APT B,WASHINGTON,DC,20009,3A
1316 E ST NE,,WASHINGTON,DC,20002,3A
1316 RIGGS ST NW,,WASHINGTON,DC,20009,3B
1316 TUCKERMAN ST NW,,WASHINGTON,DC,20011,3B
1317 T ST SE,,WASHINGTON,DC,20020,3B
1318 13TH ST NW,APT B,WASHINGTON,DC,20005,3B
1318 45TH PL NE,APT 202,WASHINGTON,DC,20019,3B
1319 LEEGATE RD NW,,WASHINGTON,DC,20012,3A
1319 Q ST NW,,WASHINGTON,DC,20009,3B
1319 R ST NW,APT 2,WASHINGTON,DC,20009,3B
1319 RANDOLPH ST NW,,WASHINGTON,DC,20011,3A
1319 RIGGS ST NW,,WASHINGTON,DC,20009,3B
1319 WALLACH PL NW,,WASHINGTON,DC,20009,3B
132 BATES ST NW,,WASHINGTON,DC,20001,3A
132 LONGFELLOW ST NW,,WASHINGTON,DC,20011,3B
132 W ST NW,,WASHINGTON,DC,20001,3A
1320 HOLBROOK ST NE,,WASHINGTON,DC,20002,3B
1320 QUEEN ST NE,,WASHINGTON,DC,20002,3B
1320 TRINIDAD AVE NE,,WASHINGTON,DC,20002,3B
1321 CORCORAN ST NW,,WASHINGTON,DC,20009,3A
1321 QUEEN ST NE,,WASHINGTON,DC,20002,3A
1321 RIGGS ST NW,WASHINGTON,WASHINGTON,DC,20009,3B
1322 10TH ST NW,,WASHINGTON,DC,20001,3B
1322 FAIRMONT ST NW,APT B,WASHINGTON,DC,20009,3B
1322 VERMONT AVE NW,,WASHINGTON,DC,20005,3B
1323 29TH ST SE,,WASHINGTON,DC,20020,3B
1323 FERNWAY RD NW,,WASHINGTON,DC,20012,3B
1323 HEMLOCK ST NW,,WASHINGTON,DC,20012,3A
1323 R ST NW,,WASHINGTON,DC,20009,3A
1323 RIGGS ST NW,,WASHINGTON,DC,20009,3A
1324 FARRAGUT ST NW,,WASHINGTON,DC,20011,3B
1324 R ST NW,APT 3,WASHINGTON,DC,20009,3B
1324 RIGGS ST NW,,WASHINGTON,DC,20009,3A
1325 FLORIDA AVE NW,,WASHINGTON,DC,20009,3B
1325 WALLACH PL NW,APT BSMT,WASHINGTON,DC,20009,3B
1326 10TH ST NW,,WASHINGTON,DC,20001,3A
1327 28TH ST SE,,WASHINGTON,DC,20020,3A
1328 ASPEN ST NW,,WASHINGTON,DC,20012,3B
1328 HEMLOCK ST NW,,WASHINGTON,DC,20012,3A
1328 LEVIS ST NE,,WASHINGTON,DC,20002,3B
1328 MARYLAND AVE NE,APT 4,WASHINGTON,DC,20002,3A
1328 TUCKERMAN ST NW,,WASHINGTON,DC,20011,3B
1329 28TH ST SE,,WASHINGTON,DC,20020,3B
1329 CHILDRESS ST NE,,WASHINGTON,DC,20002,3A
1329 MISSOURI AVE NW,,WASHINGTON,DC,20011,3B
1330 CORCORAN ST NW,APT 4,WASHINGTON,DC,20009,3B
1330 CORCORAN ST NW,APT 3,WASHINGTON,DC,20009,3B
1330 E ST NE,,WASHINGTON,DC,20002,3A
1330 RIGGS ST NW,,WASHINGTON,DC,20009,3B
1332 CORCORAN ST NW,APT 5,WASHINGTON,DC,20009,3B
1332 FARRAGUT ST NW,,WASHINGTON,DC,20011,3B
1332 HOLLY ST NW,,WASHINGTON,DC,20012,3A
1332 T ST NW,,WASHINGTON,DC,20009,3A
1333 CORCORAN ST NW,,WASHINGTON,DC,20009,3B
1333 QUEEN ST NE,,WASHINGTON,DC,20002,3B
1333 QUINCY ST NW,,WASHINGTON,DC,20011,3B
1334 SHERIDAN ST NW,,WASHINGTON,DC,20011,3B
1335 KENNEDY ST NW,,WASHINGTON,DC,20011,3A
1336 E ST NE,,WASHINGTON,DC,20002,3B
1336 RIGGS ST NW,APT BSMT,WASHINGTON,DC,20009,3B
1337 FAIRMONT ST NW,,WASHINGTON,DC,20009,3A
1337 INGRAHAM ST NW,,WASHINGTON,DC,20011,3A
1337 VERMONT AVE NW,,WASHINGTON,DC,20005,3A
1338 HARVARD ST NW,,WASHINGTON,DC,20009,3A
1338 RIDGE PL SE,,WASHINGTON,DC,20020,3B
1338 S ST NW,,WASHINGTON,DC,20009,3B
1339 INGRAHAM ST NW,,WASHINGTON,DC,20011,3A
1339 OTIS PL NW,,WASHINGTON,DC,20010,3B
1339 UNDERWOOD ST NW,,WASHINGTON,DC,20012,3B
134 33RD ST NE,,WASHINGTON,DC,20019,3B
134 48TH PL NE,,WASHINGTON,DC,20019,3B
134 JEFFERSON ST NW,,WASHINGTON,DC,20011,3A
134 THOMAS ST NW,APT BSM,WASHINGTON,DC,20001,3B
1340 CORCORAN ST NW,APT C,WASHINGTON,DC,20009,3B
1340 CORCORAN ST NW,APT B,WASHINGTON,DC,20009,3B
1340 MARYLAND AVE NE,APT 2,WASHINGTON,DC,20002,3A
1341 QUEEN ST NE,,WASHINGTON,DC,20002,3B
1342 NEWTON ST NW,,WASHINGTON,DC,20010,3B
1342 QUEEN ST NE,,WASHINGTON,DC,20002,3B
1342 WALLACH PL NW,,WASHINGTON,DC,20009,3B
1343 FLORIDA AVE NW,,WASHINGTON,DC,20009,3B
1343 Q ST NW,APT 1,WASHINGTON,DC,20009,3B
1343 WALLACH PL NW,,WASHINGTON,DC,20009,3B
1344 QUINCY ST NW,,WASHINGTON,DC,20011,3B
1344 UNDERWOOD ST NW,,WASHINGTON,DC,20012,3B
1345 CHILDRESS ST NE,,WASHINGTON,DC,20002,3B
1345 MONROE ST NW,,WASHINGTON,DC,20010,3A
1345 PARKWOOD PL NW,,WASHINGTON,DC,20010,3B
1345 T ST NW,,WASHINGTON,DC,20009,3A
1346 E ST NE,,WASHINGTON,DC,20002,3A
1346 LEVIS ST NE,,WASHINGTON,DC,20002,3A
1346 MERIDIAN PL NW,,WASHINGTON,DC,20010,3B
1346 WALLACH WASHINGTON,,WASHINGTON,DC,20009,3A
1347 F ST NE,,WASHINGTON,DC,20002,3B
1349 EMERALD ST NE,,WASHINGTON,DC,20002,3B
1349 RITTENHOUSE ST NW,,WASHINGTON,DC,20011,3B
1350 RANDOLPH ST NW,UNIT 1,WASHINGTON,DC,20011,3B
1351 CHILDRESS ST NE,,WASHINGTON,DC,20002,3B
1351 OTIS PL NW,,WASHINGTON,DC,20010,3B
1351 U ST NW,STE 2,WASHINGTON,DC,20009,3B
1353 BRANCH AVE SE,,WASHINGTON,DC,20020,3B
1353 F ST NE,,WASHINGTON,DC,20002,3B
1353 MONROE ST NW,,WASHINGTON,DC,20010,3A
1353 OAK ST NW,,WASHINGTON,DC,20010,3B
1354 LEEGATE RD NW,,WASHINGTON,DC,20012,3B
1357 MARYLAND AVE NE,,WASHINGTON,DC,20002,3B
1357 NEWTON ST NW,,WASHINGTON,DC,20010,3A
1358 OAK ST NW,,WASHINGTON,DC,20010,3B
136 33RD ST NE,,WASHINGTON,DC,20019,3B
136 BATES ST NW,,WASHINGTON,DC,20001,3A
136 SEATON PL NW,,WASHINGTON,DC,20001,3B
136 THOMAS ST NW,,WASHINGTON,DC,20001,3B
1360 OAK ST NW,,WASHINGTON,DC,20010,3A
1361 BRANCH AVE SE,,WASHINGTON,DC,20020,3A
1362 SHERIDAN ST NW,,WASHINGTON,DC,20011,3B
1362 SPRING RD NW,,WASHINGTON,DC,20010,3B
1363 NEWTON ST NW,,WASHINGTON,DC,20010,3A
1365 GERANIUM ST NW,,WASHINGTON,DC,20012,3B
1369 SHERIDAN ST NW,,WASHINGTON,DC,20011,3B
137 36TH ST NE,APT 2,WASHINGTON,DC,20019,3B
1376 E ST NE,,WASHINGTON,DC,20002,3B
1377 EMERALD ST NE,,WASHINGTON,DC,20002,3A
1378 E ST NE,,WASHINGTON,DC,20002,3B
1384 E ST NE,,WASHINGTON,DC,20002,3B
139 ANACOSTIA AVE NE,,WASHINGTON,DC,20019,3A
14 35TH ST NE,,WASHINGTON,DC,20019,3B
14 INGRAHAM ST NW,,WASHINGTON,DC,20011,3B
14 JEFFERSON ST NE,,WASHINGTON,DC,20011,3B
14 MADISON ST NW,,WASHINGTON,DC,20011,3A
140 48TH PL NE,,WASHINGTON,DC,20019,3B
1400 42ND PL SE,,WASHINGTON,DC,20020,3B
1401 30TH ST SE,,WASHINGTON,DC,20020,3B
1401 EMERSON ST NW,,WASHINGTON,DC,20011,3B
1401 ORREN ST NE,,WASHINGTON,DC,20002,3A
1402 42ND ST SE,,WASHINGTON,DC,20020,3B
1405 30TH ST SE,,WASHINGTON,DC,20020,3B
1405 34TH ST SE,,WASHINGTON,DC,20020,3B
1406 10TH ST NW,APT 2,WASHINGTON,DC,20001,3B
1407 10TH ST NW,APT 3,WASHINGTON,DC,20001,3B
1407 CRITTENDEN ST NW,,WASHINGTON,DC,20011,3A
1407 MONROE ST NW,,WASHINGTON,DC,20010,3B
1407 MONTELLO AVE NE,,WASHINGTON,DC,20002,3A
1408 42ND ST SE,,WASHINGTON,DC,20020,3B
1409 18TH PL SE,,WASHINGTON,DC,20020,3B
1409 ORREN ST NE,,WASHINGTON,DC,20002,3B
141 36TH ST NE,APT 2,WASHINGTON,DC,20019,3B
141 48TH PL NE,,WASHINGTON,DC,20019,3B
